WinSQI,SQI
0,0.923076923076923
1,0.933333333333333
2,0.933333333333333
3,0.933333333333333
4,0.923076923076923
5,0.933333333333333
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0.933333333333333
35,0.933333333333333
36,0.875
37,0.923076923076923
38,0.923076923076923
39,0.909090909090909
40,1
41,1
42,0.909090909090909
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0.909090909090909
74,1
75,1
76,1
77,1
78,1
79,0.909090909090909
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0.909090909090909
90,1
91,1
92,1
93,1
94,1
95,0.909090909090909
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0.933333333333333
135,0.933333333333333
136,0.923076923076923
137,0.909090909090909
138,0.909090909090909
139,0.923076923076923
140,0.909090909090909
141,1
142,1
143,0.923076923076923
144,1
145,1
146,1
147,1
148,1
149,0.909090909090909
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0.941176470588235
167,0.941176470588235
168,0.933333333333333
169,0.933333333333333
170,0.941176470588235
171,0.933333333333333
172,0.909090909090909
173,1
174,0.909090909090909
175,1
176,1
177,1
178,0.923076923076923
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,0.923076923076923
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0.923076923076923
218,1
219,1
220,1
221,1
222,1
223,0.909090909090909
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0.923076923076923
245,1
246,1
247,1
248,1
249,1
250,0.888888888888889
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,0.909090909090909
274,1
275,1
276,1
277,1
278,1
279,0.909090909090909
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
